Titulo;Autor;Año;Editorial;País;Referencia;Linea;Categoria
Qualitta, productos y servicios;Qualitta;;;;INM-053;Tecnología y medio ambiente;Innovación y Materiales
Hc catalogo de la construcción(Ed.22a);HC;1988;Plazas impresores;Colombia;INM-054;Tecnología y medio ambiente;Innovación y Materiales
Proyecto de promoción de la madera para construcción Colombia;BHC;;BCH;Colombia;INM-055;Tecnología y medio ambiente;Innovación y Materiales
Catálogo de cubiertas;Ajover;;Ajover;Colombia;INM-056;Tecnología y medio ambiente;Innovación y Materiales
Construdata. Servicios de información para la industria de la construcción. Informe de precios eléctricos. Bogotá;Construdata;1991;Construdata;Colombia;INM-057;Tecnología y medio ambiente;Innovación y Materiales
;;;;;;;
Productos para vivir el progreso del país;Tubox;;Tubox;Colombia;MCD-001;Tecnología y medio ambiente;Manuales, Cartillas y Detalles
Fichas técnicas para el mejoramiento de la vivienda;SENA Servicio Nacional de Aprendizaje;;SENA;Colombia;MCD-002;Tecnología y medio ambiente;Manuales, Cartillas y Detalles
Manual práctico de pintura para la industria de la construcción;Pintuco;;Pintuco S.A;Colombia;MCD-003;Tecnología y medio ambiente;Manuales, Cartillas y Detalles
Eterboard Manual Técnico;Eternit;;Eternit;Colombia;MCD-004;Tecnología y medio ambiente;Manuales, Cartillas y Detalles
Tuberia PR de baja y media densidad para riesgos y conducciones agricolas;PAVCO;;PAVCO;Colombia;MCD-005;Tecnología y medio ambiente;Manuales, Cartillas y Detalles
Sistema de tuberia y accesorios presión PAVCO;PAVCO;;PAVCO;Colombia;MCD-006;Tecnología y medio ambiente;Manuales, Cartillas y Detalles
Tuberia y accesorios PVC y CPVC Presión;PAVCO;;PAVCO;Colombia;MCD-007;Tecnología y medio ambiente;Manuales, Cartillas y Detalles
Sistema de Tuberia y accesorios Conduit, Ducto telefónico y eléctrico PAVCO;PAVCO;;PAVCO;Colombia;MCD-008;Tecnología y medio ambiente;Manuales, Cartillas y Detalles
Tuberia y accesorios sanitaria PVC;PAVCO;;PAVCO;Colombia;MCD-009;Tecnología y medio ambiente;Manuales, Cartillas y Detalles
Manual Técnico de superboard;Colombit;;Colombit;Colombia;MCD-010;Tecnología y medio ambiente;Manuales, Cartillas y Detalles
Manual técnico de instalación para cubiertas Santafe;Santafe;1995;Santafe;Colombia;MCD-011;Tecnología y medio ambiente;Manuales, Cartillas y Detalles
Manual de construcción vivienda de interés social;Santafe;1995;Santafe;Colombia;MCD-012;Tecnología y medio ambiente;Manuales, Cartillas y Detalles
Sistemas de construcción liviana eterboard;Eternit;2013;Eternit;Colombia;MCD-013;Tecnología y medio ambiente;Manuales, Cartillas y Detalles
Manual ténico para la construcción de muros divisorios y acabados arquitectónicos con productos de arcilla;Anfalit;;Anfalit;Colombia;MCD-014;Tecnología y medio ambiente;Manuales, Cartillas y Detalles
Instalación de revestimientos cerámicos;SENA;1995;SENA;Colombia;MCD-015;Tecnología y medio ambiente;Manuales, Cartillas y Detalles
Manual de tubería de Gres;Jiménes Rojas, Álvaro y Candanoza Rodríguez, Enrique;;Tubos Moore S.A;Colombia;MCD-016;Tecnología y medio ambiente;Manuales, Cartillas y Detalles
Especificaciones técnicas ascensores;Estilo;;Estilo;Colombia;MCD-017;Tecnología y medio ambiente;Manuales, Cartillas y Detalles
Ascensores para pasajeros;Mitsubishi;1979;;Japón;MCD-018;Tecnología y medio ambiente;Manuales, Cartillas y Detalles
Generalidades sobre equipos de transporte vertical; Andino;1995;Ascensores andino;Colombia;MCD-019;Tecnología y medio ambiente;Manuales, Cartillas y Detalles
Árquitectura del ascensor;Parker, E. R;;Iris ;Colombia;MCD-020;Tecnología y medio ambiente;Manuales, Cartillas y Detalles
Autoconstrucción Bloques y tubos;SENA;;SENA;Colombia;MCD-021;Tecnología y medio ambiente;Manuales, Cartillas y Detalles
Manual de Diseño y construcción sismo resistente. NSR 98;Aceros Diaco, Muñoz Muñoz, Harold Alberto;2007;Zeta PM&L;Colombia;MCD-022;Tecnología y medio ambiente;Manuales, Cartillas y Detalles
Autoconstrucción. Conocimientos básicos de aritmética y geometria. Módulo: Obra negra;SENA Formación Abierta y a Distancia;;SENA;Colombia;MCD-023;Tecnología y medio ambiente;Manuales, Cartillas y Detalles
Autoconstrucción. Herramientas y equipos. Módulo: Obra negra;SENA Formación Abierta y a Distancia;;SENA;Colombia;MCD-024;Tecnología y medio ambiente;Manuales, Cartillas y Detalles
Autoconstrucción. Materiales de construcción. Módulo: Obra negra;SENA Formación Abierta y a Distancia;;SENA;Colombia;MCD-025;Tecnología y medio ambiente;Manuales, Cartillas y Detalles
Autoconstrucción. Mezclas. Módulo: Obra negra;SENA Formación Abierta y a Distancia;;SENA;Colombia;MCD-026;Tecnología y medio ambiente;Manuales, Cartillas y Detalles
Autoconstrucción. Construcción de caseta y programación de obra. Módulo: Obra negra;SENA Formación Abierta y a Distancia;;SENA;Colombia;MCD-027;Tecnología y medio ambiente;Manuales, Cartillas y Detalles
Autoconstrucción. Interpretación de planos. Módulo: Obra negra;SENA Formación Abierta y a Distancia;;SENA;Colombia;MCD-028;Tecnología y medio ambiente;Manuales, Cartillas y Detalles
Autoconstrucción. Localización y replanteo de lotes. Módulo: Obra negra;SENA Formación Abierta y a Distancia;;SENA;Colombia;MCD-029;Tecnología y medio ambiente;Manuales, Cartillas y Detalles
Autoconstrucción. Excavaciones. Módulo: Obra negra;SENA Formación Abierta y a Distancia;;SENA;Colombia;MCD-030;Tecnología y medio ambiente;Manuales, Cartillas y Detalles
Autoconstrucción. Muros A. Módulo: Obra negra;SENA Formación Abierta y a Distancia;;SENA;Colombia;MCD-031;Tecnología y medio ambiente;Manuales, Cartillas y Detalles
Autoconstrucción. Muros B. Módulo: Obra negra;SENA Formación Abierta y a Distancia;;SENA;Colombia;MCD-032;Tecnología y medio ambiente;Manuales, Cartillas y Detalles
Autoconstrucción. Cubiertas. Módulo: Obra negra;SENA Formación Abierta y a Distancia;;SENA;Colombia;MCD-033;Tecnología y medio ambiente;Manuales, Cartillas y Detalles
Autoconstrucción. Construcción de zapatas y columnas. Módulo 8. Unidad 12;SENA Formación Abierta y a Distancia;;SENA;Colombia;MCD-034;Tecnología y medio ambiente;Manuales, Cartillas y Detalles
Autoconstrucción. Construcción de escaleras en concreto reforzado, prefabricadas y en madera. Módulo 12. Unidad 16;SENA Formación Abierta y a Distancia;;SENA;Colombia;MCD-035;Tecnología y medio ambiente;Manuales, Cartillas y Detalles
Autoconstrucción. Construcción de cielorraso en esterilla o en madera. Módulo 15. Unidad 20;SENA Formación Abierta y a Distancia;;SENA;Colombia;MCD-036;Tecnología y medio ambiente;Manuales, Cartillas y Detalles
Autoconstrucción. Construcción de puertas y ventanas. Módulo 15. Unidad 21;SENA Formación Abierta y a Distancia;;SENA;Colombia;MCD-037;Tecnología y medio ambiente;Manuales, Cartillas y Detalles
Autoconstrucción. Revoque (pañetes - friso o repello) Modulo 15. Unidad 22;SENA Formación Abierta y a Distancia;;SENA;Colombia;MCD-038;Tecnología y medio ambiente;Manuales, Cartillas y Detalles
Autoconstrucción. Enchape en cerámica. Módulo 15. Unidad 23;SENA Formación Abierta y a Distancia;;SENA;Colombia;MCD-039;Tecnología y medio ambiente;Manuales, Cartillas y Detalles
Autoconstrucción. Construcción de pisos en madera. Módulo 15. Unidad 24;SENA Formación Abierta y a Distancia;;SENA;Colombia;MCD-040;Tecnología y medio ambiente;Manuales, Cartillas y Detalles
Autoconstrucción. Aplicación de estuco y pintura. Módulo 15. Unidad 26;SENA Formación Abierta y a Distancia;;SENA;Colombia;MCD-041;Tecnología y medio ambiente;Manuales, Cartillas y Detalles
Autoconstrucción. Construcción de closets y divisiones. Módulo 15 Unidad 27;SENA Formación Abierta y a Distancia;;SENA;Colombia;MCD-042;Tecnología y medio ambiente;Manuales, Cartillas y Detalles
Guía práctica para la figuración. Principios básicos para realizar un buen proceso de figuración;Aceros Diaco;1996;Plazas impresores;Colombia;MCD-043;Tecnología y medio ambiente;Manuales, Cartillas y Detalles
Construcción Autogestionada. Matemátmicas y geometría. Material Autoformativo. Bloque modular: Proceso de construcción;SENA Servicio Nacional de Aprendizaje;;SENA;Colombia;MCD-044;Tecnología y medio ambiente;Manuales, Cartillas y Detalles
Construcción Autogestionada. Herramientas y Equipos (edificaciones y obras civiles) Material Autoformativo. Bloque modular: Proceso de construcción;SENA Servicio Nacional de Aprendizaje;;SENA;Colombia;MCD-045;Tecnología y medio ambiente;Manuales, Cartillas y Detalles
Construcción Autogestionada. Construcción de caseta. Material Autoformativo. Bloque modular: Proceso de construcción;SENA Servicio Nacional de Aprendizaje;;SENA;Colombia;MCD-046;Tecnología y medio ambiente;Manuales, Cartillas y Detalles
Construcción Autogestionada. Interpretación de planos. Material Autoformativo. Bloque modular: Proceso de construcción;SENA Servicio Nacional de Aprendizaje;;SENA;Colombia;MCD-047;Tecnología y medio ambiente;Manuales, Cartillas y Detalles
Construcción Autogestionada. Excavaciones. Material Autoformativo. Bloque modular: Proceso de construcción;SENA Servicio Nacional de Aprendizaje;;SENA;Colombia;MCD-048;Tecnología y medio ambiente;Manuales, Cartillas y Detalles
Construcción Autogestionada. Excavaciones. Cimentaciones. Material Autoformativo. Bloque modular: Proceso de construcción;SENA Servicio Nacional de Aprendizaje;;SENA;Colombia;MCD-049;Tecnología y medio ambiente;Manuales, Cartillas y Detalles
Construcción Autogestionada. Muros A. Material Autoformativo. Bloque modular: Proceso de construcción;SENA Servicio Nacional de Aprendizaje;;SENA;Colombia;MCD-050;Tecnología y medio ambiente;Manuales, Cartillas y Detalles
Construcción Autogestionada. Muros B. Material Autoformativo. Bloque modular: Proceso de construcción;SENA Servicio Nacional de Aprendizaje;;SENA;Colombia;MCD-051;Tecnología y medio ambiente;Manuales, Cartillas y Detalles
Construcción Autogestionada. Estructuras Superiores. Material Autoformativo. Bloque modular: Proceso de construcción;SENA Servicio Nacional de Aprendizaje;;SENA;Colombia;MCD-052;Tecnología y medio ambiente;Manuales, Cartillas y Detalles
Construcción Autogestionada. Escaleras. Material Autoformativo. Bloque modular: Proceso de construcción;SENA Servicio Nacional de Aprendizaje;;SENA;Colombia;MCD-053;Tecnología y medio ambiente;Manuales, Cartillas y Detalles
Construcción Autogestionada. Desagues y cajas de inspección. Material Autoformativo. Bloque modular: Proceso de construcción;SENA Servicio Nacional de Aprendizaje;;SENA;Colombia;MCD-054;Tecnología y medio ambiente;Manuales, Cartillas y Detalles
Construcción Autogestionada. Costos, presupuestos y programación. Material Autoformativo. Bloque modular: Proceso de construcción;SENA Servicio Nacional de Aprendizaje;;SENA;Colombia;MCD-055;Tecnología y medio ambiente;Manuales, Cartillas y Detalles
Construcción Autogestionada. Closets y divisiones. Material Autoformativo. Bloque modular: Acabados;SENA Servicio Nacional de Aprendizaje;;SENA;Colombia;MCD-056;Tecnología y medio ambiente;Manuales, Cartillas y Detalles
Detalles de edificios;Asensio Cerver, Francisco;;ARCO;España;MCD-057;Tecnología y medio ambiente;Manuales, Cartillas y Detalles
Reconstrucción de Popayán. Plan de acción. Cartilla guía de construcción;Banco Central Hipotecario;1983;Banco Central Hipotecario;Colombia;MCD-058;Tecnología y medio ambiente;Manuales, Cartillas y Detalles
Así construyo mi vivienda;Universidad La Gran Colombia;2008;Universidad La Gran Colombia;Colombia;MCD-059;Tecnología y medio ambiente;Manuales, Cartillas y Detalles
Construcción. Bandas transportadoras;SENA Servicio Nacional de Aprendizaje;;SENA;Colombia;MCD-060;Tecnología y medio ambiente;Manuales, Cartillas y Detalles
Construcción Colocación de Acabados. Aplicación de revestimientos plásticos;SENA Servicio Nacional de Aprendizaje;;SENA;Colombia;MCD-061;Tecnología y medio ambiente;Manuales, Cartillas y Detalles
Construcción Colocación de Acabados. Aplicación de agregados petreos;SENA Servicio Nacional de Aprendizaje;;SENA;Colombia;MCD-062;Tecnología y medio ambiente;Manuales, Cartillas y Detalles
Construcción Colocación de Acabados. Instalacion de vinilos y alfombras;SENA Servicio Nacional de Aprendizaje;;SENA;Colombia;MCD-063;Tecnología y medio ambiente;Manuales, Cartillas y Detalles
Construcción Enchapes y Acabados. Instalación de plástico reforzados;SENA Servicio Nacional de Aprendizaje;;SENA;Colombia;MCD-064;Tecnología y medio ambiente;Manuales, Cartillas y Detalles
Construcción Instalación de Enchapes y Acabados. Enchape de muros y cielo rasos en madera;SENA Servicio Nacional de Aprendizaje;;SENA;Colombia;MCD-065;Tecnología y medio ambiente;Manuales, Cartillas y Detalles
Construcción Aplicación de pinturas sobre mamposteria. Pintura de muros;SENA Servicio Nacional de Aprendizaje;;SENA;Colombia;MCD-066;Tecnología y medio ambiente;Manuales, Cartillas y Detalles
Construcción Aplicación de rústicos. Revestimientos rústicos;SENA Servicio Nacional de Aprendizaje;;SENA;Colombia;MCD-067;Tecnología y medio ambiente;Manuales, Cartillas y Detalles
Construcción Aplicación de pinturas sobre madera. Pintura con brocha sobre superficies de madera;SENA Servicio Nacional de Aprendizaje;;SENA;Colombia;MCD-068;Tecnología y medio ambiente;Manuales, Cartillas y Detalles
Construcción Ebanisteria. Maquinado de la madera;SENA Servicio Nacional de Aprendizaje;;SENA;Colombia;MCD-069;Tecnología y medio ambiente;Manuales, Cartillas y Detalles
Construcción Temas especializados. Conextor solar de placa plana;SENA Servicio Nacional de Aprendizaje;;SENA;Colombia;MCD-070;Tecnología y medio ambiente;Manuales, Cartillas y Detalles
Construcción Temas especializados. Manual para la construcción de plavimentos con adoquines;SENA Servicio Nacional de Aprendizaje;;SENA;Colombia;MCD-071;Tecnología y medio ambiente;Manuales, Cartillas y Detalles
Plomeria Instalación de tuberia y tanques de abastecimiento. Redes de distribución de agua potable control y medición;SENA Servicio Nacional de Aprendizaje;;SENA;Colombia;MCD-072;Tecnología y medio ambiente;Manuales, Cartillas y Detalles
El bahareque en la región del carible. Módulos 3, 4 y 5: La Casa en Canilla;SENA Servicio Nacional de Aprendizaje;;SENA;Colombia;MCD-073;Tecnología y medio ambiente;Manuales, Cartillas y Detalles
Manual de construcción sismo resistente de viviendas en bahareque encementado;Corona;;Editk7;Colombia;MCD-074;Tecnología y medio ambiente;Manuales, Cartillas y Detalles
Manual de construcción, evaluación y rehabilitación sismo resistente de viviendas de mamposteria;AIS;2005;Editk7;Colombia;MCD-075;Tecnología y medio ambiente;Manuales, Cartillas y Detalles
Construcción Acabados. Enchapes en material cerámico;SENA Servicio Nacional de Aprendizaje;;SENA;Colombia;MCD-076;Tecnología y medio ambiente;Manuales, Cartillas y Detalles
Construcción Construcción de Estructuras en Hormigón. Construcción de elementos para encofrados en madera;SENA Servicio Nacional de Aprendizaje;;SENA;Colombia;MCD-077;Tecnología y medio ambiente;Manuales, Cartillas y Detalles
"Placa fácil; manual de instalación";Santafe;;Santafe;Colombia;MCD-078;Tecnología y medio ambiente;Manuales, Cartillas y Detalles
;;;;;;;
NSR-98 Normas Colombianas de Diseño y construcción sismo resistente Tomo 1;Asosiación Colombiana de Ingeniería Sísmica;1965;AIS;Colombia;NCC-001;Tecnología y medio ambiente;Norma Constructiva Colombiana
NSR-98 Normas Colombianas de Diseño y construcción sismo resistente Tomo 2;Asosiación Colombiana de Ingeniería Sísmica;1965;AIS;Colombia;NCC-002;Tecnología y medio ambiente;Manuales, Cartillas y Detalles
NTC-4595 Norma Técnica Colombiana. Ingenieria Civil y Arquitectura Planeamiento y diseño de instalaciones y ambientes escolares - NTC-4596 Señalización papra instalaciones y ambientes escolares;Ministerio de Educación Superior;2000;Imprenta Nacional;Colombia;NCC-003;Tecnología y medio ambiente;Manuales, Cartillas y Detalles
NTC-4595 Norma Técnica Colombiana. Ingenieria Civil y Arquitectura Planeamiento y diseño de instalaciones y ambientes escolares - NTC-4596 Señalización papra instalaciones y ambientes escolares;Ministerio de Educación Superior;2010;Imprenta Nacional;Colombia;NCC-004;Tecnología y medio ambiente;Manuales, Cartillas y Detalles
Código Colombiano de Estructuras de Hormigon reforzado;ICONTEC;1983;ICONTEC;Colombia;NCC-005;Tecnología y medio ambiente;Manuales, Cartillas y Detalles
Normas técnicas Colombianas para la construcción. Cemento, agregados, hormigón, acero de refuerzo, prefabricados de concretos, productos de abesto cemento.;ICONTEC;;ICONTEC;Colombia;NCC-006;Tecnología y medio ambiente;Manuales, Cartillas y Detalles
Tablas de calculo especificaciones normas;Concremalla;;Concremalla;Colombia;NCC-007;Tecnología y medio ambiente;Manuales, Cartillas y Detalles
Decretos y normas reglamentarias del sistema Colombiano de ahorro y vivienda;Instituto Colombiano de Ahorro y Vivienda;1978;Jorge Plazas Editor S.A;Colombia;NCC-008;Tecnología y medio ambiente;Manuales, Cartillas y Detalles
Codifiacion de normas;Sistema nacional para la prevención y atencion de desastres;1989;Ministerio del Interior;Colombia;NCC-009;Tecnología y medio ambiente;Manuales, Cartillas y Detalles
;;;;;;;
Libro Construcción Básica;;;;;CNG-001;Tecnología y medio ambiente;Constructivo-General
Recopilación historica de los materiales y tecnicas constructivas;;;;;CNG-002;Tecnología y medio ambiente;Constructivo-General
 Módulo 1: Formándome para liderar mi obra;Swisscontact;;Swisscontact;Colombia;CNG-003;Tecnología y medio ambiente;Constructivo-General
 Módulo 2: Mis obras se comercializan y se venden;Swisscontact;;Swisscontact;Colombia;CNG-004;Tecnología y medio ambiente;Constructivo-General
Módulo 3: Mis obras logran dinero;Swisscontact;;Swisscontact;Colombia;CNG-005;Tecnología y medio ambiente;Constructivo-General
Módulo 4: Formalizando mi negocio;Swisscontact;;Swisscontact;Colombia;CNG-006;Tecnología y medio ambiente;Constructivo-General
Ejercicio práctico de ingenieria estructural. Análisis y diseño estructural de una edificación en concreto reforzado.;Riveros Tabares, Mabel y Gomez Gomez, Alfonso;2000;;Colombia ;CNG-007;Tecnología y medio ambiente;Constructivo-General
Revista internacional de Ingeniería de estructuras. Vol 1 Num 1 1996;Barbat, Alex H. Y Aguilar, Roberto;1996;ESPE;Ecuador;CNG-008;Tecnología y medio ambiente;Constructivo-General
Materiales para la Construcción;Enclicopedia CEAC;1983;CEAC;España;CNG-009;Tecnología y medio ambiente;Constructivo-General
Técnica Constructiva;Enclicopedia CEAC;1983;CEAC;España;CNG-010;Tecnología y medio ambiente;Constructivo-General
Modelos y presupuestos de obras;Enclicopedia CEAC;1981;CEAC;España;CNG-011;Tecnología y medio ambiente;Constructivo-General
Cubicaciones y resistencia de materiales;Enclicopedia CEAC;1982;CEAC;España;CNG-012;Tecnología y medio ambiente;Constructivo-General
Diseño e industrialización de la construcción y las circunstancias colombianas;Fique Pinto, Luis Fernando;1995;Universidad Nacional de Colombia;Colombia ;CNG-013;Tecnología y medio ambiente;Constructivo-General
Control Integral de la Edificación I Planteamiento;Puyana, German;1982;Escala;Colombia ;CNG-014;Tecnología y medio ambiente;Constructivo-General
Control Integral de la Edificación II Construcción;Puyana, German;1986;Escala;Colombia ;CNG-015;Tecnología y medio ambiente;Constructivo-General
Control Integral de la Edificación III Administración y mantenimiento;Puyana, German;1986;Escala;Colombia ;CNG-016;Tecnología y medio ambiente;Constructivo-General
Trayectoria crítica;Noriega Santos, Jorge;1971;Escala;Colombia;CNG-017;Tecnología y medio ambiente;Constructivo-General
Eladio dieste La arquitectura cerámica;Facultad de Arquitectura. Universidad de Los Andes;1987;Escala;Colombia ;CNG-018;Tecnología y medio ambiente;Constructivo-General
Estrucutra par arquitectos;Salvadori, Mario;1969;La Isla;Argentina;CNG-019;Tecnología y medio ambiente;Constructivo-General
Suelos y cimentaciones;Casas Figueroa, Luis Humberto;2001;CITCE;Colombia;CNG-020;Tecnología y medio ambiente;Constructivo-General
Arcos y bóvedas;Moreno García, Francisco;1989;CEAC;España;CNG-021;Tecnología y medio ambiente;Constructivo-General
Programa de construcción;SENA;;SENA;España;CNG-022;Tecnología y medio ambiente;Constructivo-General
Evaluación financiera de proyectos de inversión;Infante Villarreal, Arturo;1988;Editorial Norma;Colombia;CNG-023;Tecnología y medio ambiente;Constructivo-General
Predimensionamiento. Definición de la estructura portante en arquitectura;"Parra, Nicolás; Pinzón, Andrés & Villazón, Rafael";2013;Ediciones Uniandes;Colombia;CNG-024;Tecnología y medio ambiente;Constructivo-General
Revestimientos interiores exteriores;de Cusa, Juan;1992;Gersa Industria Gráfica;España;CNG-025;Tecnología y medio ambiente;Constructivo-General
Principios básicos de pre dimensionamiento en estructuras;Joya, Luis Eduardo;;Universidad Autónoma Metropolitana;Colombia;CNG-026;Tecnología y medio ambiente;Constructivo-General
Materiales y procedimientos de construcción 1;Barbará Z., F.;1977;Herrero S.A.;México;CNG-027;Tecnología y medio ambiente;Constructivo-General
Materiales y procedimientos de construcción 2;Barbará Z., F.;1977;Herrero S.A.;México;CNG-028;Tecnología y medio ambiente;Constructivo-General
Architectural and Interior Models. Design and Construction ;Hohauser. S.;;Van Nostrand Reinhold Company;EE.UU;CNG-029;Tecnología y medio ambiente;Constructivo-General
Representación de estructuras en concreto reforzado;Ramirez Lopez, Ana Dorys - Zapata Gomez Martha Cecilia;2006;Universidad colegio mayor de cundinamarca;Colombia;CNG-030;Tecnología y medio ambiente;Constructivo-General
Primeras manifestaciones constructivas - Historia de la edificación;de Granobles, Ligia Guiot - Perilla Perilla, Mario;2003;Universidad colegio mayor de cundinamarca;Colombia;CNG-031;Tecnología y medio ambiente;Constructivo-General
;;;;;;;
Armaduras de Triacero;;;;;CNA-001;Tecnología y medio ambiente;Constructivo-Acero
Manual de diseño de estructuras de acero;Aceros Diaco;1996;Plazas impresores;Colombia;CNA-002;Tecnología y medio ambiente;Constructivo-Acero
Ensayo y control de calidad del acero de refuerzo;Aceros Diaco;1994;Plazas impresores;Colombia;CNA-003;Tecnología y medio ambiente;Constructivo-Acero
Diseño de estructuras de acero Método LRFO;McCormac, Jack C.;2002;Alfaomega Grupo Editores S.A de C.V;México;CNA-004;Tecnología y medio ambiente;Constructivo-Acero
;;;;;;;
Icpc(2003) 30 años ICPC(Ed. 1ra)Colombia:Zoom creativo Dep Ltda;Instituto Colombiano de Productores de Cemento;2003;ICPC;Colombia;CNH-001;Tecnología y medio ambiente;Constructivo-Concreto-Hormigón
Guía para el cálculo de concreto reforzado;CPR;1986;Plazas impresos;Colombia;CNH-002;Tecnología y medio ambiente;Constructivo-Concreto-Hormigón
Guía para el cálculo estructural;DIACO;1994;Plazas impresos;Colombia;CNH-003;Tecnología y medio ambiente;Constructivo-Concreto-Hormigón
Construcción de estructuras en hormigón;SENA;1986;SENA;Colombia;CNH-004;Tecnología y medio ambiente;Constructivo-Concreto-Hormigón
;;;;;;;
Construcción Laminar;Angerer, Fred;1964;Gustavo Gili S.A;España;CNL-001;Tecnología y medio ambiente;Constructivo-Estructura Laminar
Arquitectura metamórfica;Rodríguez Bernal, Carolina;2000;ICFES;Colombia;CNL-002;Tecnología y medio ambiente;Constructivo-Estructura Laminar
Arquitectura metamórfica Transformación de la estructura;Jaramillo, Pedro Juan;2000;ICFES;Colombia;CNL-003;Tecnología y medio ambiente;Constructivo-Estructura Laminar
La esencia del árbol;Jaramillo, Pedro Juan;2002;;Colombia;CNL-004;Tecnología y medio ambiente;Constructivo-Estructura Laminar
;;;;;;;
Instalaciones eléctricas;Melguizo, Samuel;1984;;Colombia;CNI-001;Tecnología y medio ambiente;Constructivo-Instalaciones
Diseño de redes hidráulicas y desagues;Pérez Carmona, Rafael;;Universidad Católica de Colombia;Colombia;CNI-002;Tecnología y medio ambiente;Constructivo-Instalaciones
Fontaneria e instalaciones sanitarias;Brigaux, Garrigou;1988;Gustavo Gili;España;CNI-003;Tecnología y medio ambiente;Constructivo-Instalaciones
Instalaciones hidráulicas sanitarias y de gas en edificaciones;Pérez Carmona, Rafael;1997;Ascotplo;Colombia;CNI-004;Tecnología y medio ambiente;Constructivo-Instalaciones
Instalaciones hidráulicas y sanitarias;SENA Servicio Nacional de Aprendizaje;;SENA;Colombia;CNI-005;Tecnología y medio ambiente;Constructivo-Instalaciones
Curso de instalaciones sanitarias;Herrera Hernández, René Ruben;1993;Universidad Autónoma Metropolitana;México;CNI-006;Tecnología y medio ambiente;Constructivo-Instalaciones
Instale y repare usted mismo su fonteria;Frainet, Marcel;1965;Calpe S.A;España;CNI-007;Tecnología y medio ambiente;Constructivo-Instalaciones
;;;;;;;
Taller de diseño de maquetas;Forero, Miguel;2001;Universidad Católica de Colombia;Colombia;CNS-001;Tecnología y medio ambiente;Constructivo-Seminarios
Curso de actualización para residente de obra;Instituto Americano de Concreto;1990;;Colombia;CNS-002;Tecnología y medio ambiente;Constructivo-Seminarios
I Seminario de interventoria;Rojas Bernal, Hernando Nelson;1995;Universidad Católica de Colombia;Colombia;CNS-003;Tecnología y medio ambiente;Constructivo-Seminarios
Primer simposio iberomaericano del control de la calidad de la construcción;Sociedad Colombiana de Arquitectos;1980;SCA;Colombia;CNS-004;Tecnología y medio ambiente;Constructivo-Seminarios
Seminario nacional de arquitectura hospitalaria;Asosiacion colombiana de arquitectos e ingenieros hospitalarios;1996;;Colombia;CNS-005;Tecnología y medio ambiente;Constructivo-Seminarios
Memorias Seminario nacional arquitectura ingenieria hospitalaria;Asosiacion colombiana de arquitectos e ingenieros hospitalarios;1997;;Chile;CNS-006;Tecnología y medio ambiente;Constructivo-Seminarios
;;;;;;;
Mecánica de Suelos;Lambe, T. William y Withman, Robert V.;1994;Limusa;México;CNC-001;Tecnología y medio ambiente;Constructivo-Civil
Seminario/Taller Diseño de alcantarillados de alta tecnología. Curso de educación continuada hidráulica de alcantarillados ecuaciones básicas, aspectos de diseño y tendencias futuras;Saldarriaga, Juan y Camacho, Luis;2002;PAVCO - Universidad de Los Andes;Colombia;CNC-002;Tecnología y medio ambiente;Constructivo-Civil
Comportamiento de materiales granulares en pavimentos flexibles;Rondón Q, Hugo Alexander y  Reyes L, Fredy Alberto;2008;Krimpes;Colombia;CNC-003;Tecnología y medio ambiente;Constructivo-Civil
Diseño y construcción de alcantarillados santinario pluvial y drenaje en carreteras;Pérez Carmona, Rafael;2013;ECOE Ediciones;Colombia;CNC-004;Tecnología y medio ambiente;Constructivo-Civil
Puentes;Herrera M, Jeronimo H.;1996;Universidad Católica de Colombia;Colombia;CNC-005;Tecnología y medio ambiente;Constructivo-Civil
Pavimentación de vías vehiculares;Arevalo Niño, Esperanza y Guzmán Romero, Daniel;1996;Universidad Católica de Colombia;Colombia;CNC-006;Tecnología y medio ambiente;Constructivo-Civil
;;;;;;;
New furniture - neue möbel - meubles nouveaux;Gerd Hatje, Verlag;1955;;Alemania;CNO-001;Tecnología y medio ambiente;Constructivo-Diseño de Objetos
Manual del producto. Action office: Component application;;;Herman miller;;CNO-002;Tecnología y medio ambiente;Constructivo-Diseño de Objetos
Ganadores chile diseño catálogo de proyectos premiados 2005;Colegio de Diseñadores de Chile;2005;Premio Chile Diseño;Chile;CNO-003;Tecnología y medio ambiente;Constructivo-Diseño de Objetos
Concurso diseño estudiantes masisa 2007;Masisa;2007;Masisa;Colombia;CNO-004;Tecnología y medio ambiente;Constructivo-Diseño de Objetos
Entre objetos;Zapata Vanegas, Freddy;2005;Ediciones Uniandes;Colombia;CNO-005;Tecnología y medio ambiente;Constructivo-Diseño de Objetos
;;;;;;;
Construcciones a base de porticos;Junta del Acuerdo de Cartagena;1988;;Peru;CNM-001;Tecnología y medio ambiente;Constructivo-Madera
Sistema de porticos en madera 3. ;Banco Central Hipotecario & Junta del Acuerdo de Cartagena;;Entorno Ltda;Colombia;CNM-002;Tecnología y medio ambiente;Constructivo-Madera
Centro médico en Popayan Sistema Estructural de Entramados en Madera 2;Banco Central Hipotecario & Junta del Acuerdo de Cartagena;;Ediciones Lerner;Colombia ;CNM-003;Tecnología y medio ambiente;Constructivo-Madera
